schema_version,scenario_id,uncertainty_label,draw_id,parameter_name,value,distribution,unit
1.0,baseline_access,parameter_uncertainty,1,p,0.024,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,1,q,0.310,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,1,m,940,triangular,people
1.0,baseline_access,parameter_uncertainty,2,p,0.027,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,2,q,0.340,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,2,m,1000,triangular,people
1.0,baseline_access,parameter_uncertainty,3,p,0.030,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,3,q,0.370,beta,probability_per_period
1.0,baseline_access,parameter_uncertainty,3,m,1060,triangular,people
1.0,accelerated_access,parameter_uncertainty,1,p,0.029,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,1,q,0.350,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,1,m,980,triangular,people
1.0,accelerated_access,parameter_uncertainty,2,p,0.031,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,2,q,0.390,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,2,m,1040,triangular,people
1.0,accelerated_access,parameter_uncertainty,3,p,0.033,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,3,q,0.430,beta,probability_per_period
1.0,accelerated_access,parameter_uncertainty,3,m,1100,triangular,people
